Name;qualifiedName;Lines;BlankLines;CodeLines;CommentLines;AverageLines;AverageCommentLines;AverageComplexity;MaximumComplexity;RatioComment/Code;usesClasses;usedbyClasses;ownedFunctions;
CacheFlushOp;sca.analysis.FileLevel.ceph-master.src.test.osd.RadosModel.h.CacheEvictOp.CacheFlushOp;  105; 10;89;6; 18;1; 4;11;0.07;[];[];[];
Cap;sca.analysis.FileLevel.ceph-master.src.client.Inode.h.Cap;57;4;45; 10;7;0; 1; 1;0.22;[];[];['~Cap   ', '~CapSnap   ', 'add_fh', 'break_all_delegs   ', 'Cap   ', 'CapSnap', 'CapSnap', 'CapSnap', 'get_first_parent   ', 'has_any_filelocks   ', 'has_dir_layout   ', 'hash_dentry_name', 'Inode', 'is_complete_and_ordered   ', 'is_dir   ', 'is_file   ', 'is_root   ', 'is_symlink   ', 'll_get   ', 'll_put', 'open_count   ', 'operator', 'operator=', 'operator=', 'operator=', 'rm_fh', 'touch   '];
Capability;sca.analysis.FileLevel.ceph-master.src.mds.Capability.h.Capability;  380; 47; 312; 23; 15;1; 1; 7;0.07;[];[];['~Export   ', 'calc_issued   ', 'clean_revoke_from', 'clear_clientwriteable   ', 'clear_importing   ', 'clear_lock_cache_allowed', 'clear_needsnapflush   ', 'clear_new   ', 'confirm_receipt', 'decode', 'decode', 'decode', 'decode', 'encode', 'encode', 'encode', 'Export   ', 'Export', 'Export', 'get_cap_id   ', 'get_inode   ', 'get_last_issue   ', 'get_last_issue_stamp   ', 'get_last_seq   ', 'get_lock_cache_allowed   ', 'get_mseq   ', 'get_num_revoke_warnings   ', 'get_session   ', 'Import', 'Import', 'Import', 'inc_last_seq   ', 'inc_mseq   ', 'inc_num_revoke_warnings   ', 'inc_suppress   ', 'is_clientwriteable   ', 'is_importing   ', 'is_new   ', 'is_noinline   ', 'is_nopoolns   ', 'is_noquota   ', 'is_notable   ', 'is_suppress   ', 'is_wanted_notable', 'issue', 'issue_norevoke', 'issued   ', 'make_export   ', 'mark_clientwriteable   ', 'mark_importing   ', 'mark_needsnapflush   ', 'mark_new   ', 'merge', 'merge', 'operator delete[]', 'operator new[]', 'operator=', 'pending   ', 'reset_num_revoke_warnings   ', 'reset_seq   ', 'revoke   ', 'revoke_info', 'revoke_info', 'revoke_info', 'revoking   ', 'set_cap_id', 'set_last_issue   ', 'set_last_issue_stamp', 'set_lock_cache_allowed', 'wanted   '];
caps.UnexpectedReturn;sca.analysis.FileLevel.ceph-master.qa.workunits.mon.caps.py.Command.UnexpectedReturn;16;1;15;0;7;0; 1; 2;0.00;[];[];[];
capture_impl;sca.analysis.FileLevel.ceph-master.src.msg.async.dpdk.capture.h.capture_impl;21;2;19;0;1;0; 1; 1;0.00;[];[];['capture_impl'];
CctCleaner;sca.analysis.FileLevel.ceph-master.src.test.rgw.test_rgw_amqp.cc.CctCleaner;12;0; 8;0;4;0; 1; 1;0.00;[];[];['~CctCleaner   ', '~dynamic_callback_wrapper   ', 'callback', 'CctCleaner', 'dynamic_callback_wrapper   ', 'dynamic_callback_wrapper', 'dynamic_callback_wrapper', 'my_callback_expect_ack', 'my_callback_expect_close_or_ack', 'SetUp   ', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F', 'TEST_F'];
CDentry;sca.analysis.FileLevel.ceph-master.src.mds.CDentry.h.CDentry;  745;103; 590; 50; 16;1; 2;14;0.08;[];[];['_project_linkage   ', '~CDentry   ', '~linkage_t   ', 'abort_export   ', 'CDentry', 'CDentry', 'clear_new   ', 'decode_import', 'encode_export', 'finish_export   ', 'first_get   ', 'get_client_lease', 'get_client_lease', 'get_dir   ', 'get_dir   ', 'get_hash   ', 'get_inode   ', 'get_inode   ', 'get_linkage   ', 'get_linkage   ', 'get_linkage', 'get_lock', 'get_name   ', 'get_projected_inode   ', 'get_projected_linkage   ', 'get_projected_linkage   ', 'get_projected_version   ', 'get_remote_d_type   ', 'get_remote_ino   ', 'get_version   ', 'have_client_lease', 'is_lt', 'is_new   ', 'is_null   ', 'is_primary   ', 'is_projected   ', 'is_remote   ', 'key   ', 'last_put   ', 'link_remote', 'linkage_t   ', 'linkage_t', 'linkage_t', 'operator new[]', 'operator=', 'pin_name', 'push_projected_linkage', 'set_projected_version', 'set_remote', 'set_version', 'use_projected'];
CDir::scrub_info_t;sca.analysis.FileLevel.ceph-master.src.mds.CDir.h.CDir.CDir::scrub_info_t;43;6;35;8;287; 56; 1; 1;0.23;[];[];[];
CDirContext;sca.analysis.FileLevel.ceph-master.src.mds.CDir.cc.C_IO_Dir_Committed.C_IO_Dir_OMAP_Fetched.CDirContext;11;1;10;0;2;0; 2; 3;0.00;[];[];[];
CDirIOContext;sca.analysis.FileLevel.ceph-master.src.mds.CDir.cc.C_IO_Dir_Committed.C_IO_Dir_OMAP_Fetched.CDirContext.CDirIOContext;11;1;10;0;2;0; 2; 3;0.00;[];[];[];
CenterWorker;sca.analysis.FileLevel.ceph-master.src.test.perf_local.cc.CenterWorker;21;1;20;0;4;0; 1; 1;0.00;[];[];['[unnamed]   ', '[unnamed]   ', '~CenterWorker   ', '~Consumer   ', '~FakeContext   ', '~ThreadHelper   ', 'atomic_int_cmp   ', 'atomic_int_inc   ', 'atomic_int_read   ', 'atomic_int_set   ', 'bind_thread_to_cpu', 'buffer_basic   ', 'buffer_basic_copy   ', 'buffer_copy   ', 'buffer_encode   ', 'buffer_encode_decode   ', 'buffer_iterator   ', 'CenterWorker', 'CenterWorker', 'CenterWorker', 'cond_ping_pong   ', 'CondPingPong   ', 'CondPingPong', 'CondPingPong', 'Consumer', 'Consumer', 'Consumer', 'CountEvent', 'decode', 'decode', 'discard', 'div32   ', 'div64   ', 'do_request', 'DummyBlock   ', 'DummyBlock', 'DummyBlock', 'encode', 'encode', 'entry   ', 'entry   ', 'entry   ', 'eventcenter_dispatch   ', 'eventcenter_poll   ', 'FakeContext   ', 'finish', 'function_call   ', 'lfence   ', 'main', 'memcpy100   ', 'memcpy1000   ', 'memcpy10000   ', 'memcpy_shared', 'mutex_nonblock   ', 'operator=', 'operator=', 'operator=', 'operator=', 'operator=', 'perf_ceph_clock_now   ', 'perf_cycles_to_nanoseconds   ', 'perf_cycles_to_seconds   ', 'perf_prefetch   ', 'perf_serialize   ', 'produce   ', 'rdtsc_test   ', 'run   ', 'run_test', 'serialize   ', 'spawn_thread   ', 'stop   ', 'test_spinlock   ', 'ThreadHelper', 'ThreadHelper', 'ThreadHelper   ', 'throw_exception   ', 'throw_exception_call   ', 'throw_int   ', 'throw_int_call   ', 'vector_push_pop   '];
ceph.deployment.drive_group.DriveGroupSpec;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.drive_group.py.DeviceSelection.DriveGroupSpec;  171; 30; 112; 47; 25;7; 4;11;0.42;[];[];[];
ceph.deployment.drive_group.DriveGroupValidationError;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.drive_group.py.DeviceSelection.DriveGroupSpec.DriveGroupValidationError; 8;1; 3;4;2;0; 1; 1;1.33;[];[];[];
ceph.deployment.drive_selection.filter.FilterGenerator;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.drive_selection.filter.py.FilterGenerator;18;1;15;2;8;1; 4; 7;0.13;[];[];['__init__   '];
ceph.deployment.drive_selection.matchers.AllMatcher;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.drive_selection.matchers.py.AllMatcher;24;5; 8; 11;9;4; 1; 2;1.38;[];[];['__init__   ', '__init__   ', '__init__   ', '__init__   ', '__init__   ', '_get_disk_key   ', '_get_k_v   ', '_normalize_suffix   ', '_parse_filter   ', '_parse_suffix   ', 'compare   ', 'compare   ', 'compare   ', 'compare   ', 'compare   ', 'exact-setter   ', 'findkeys   ', 'high-getter   ', 'high-setter   ', 'low-getter   ', 'low-setter   ', 'str_to_byte   ', 'to_byte   '];
ceph.deployment.drive_selection.matchers.Matcher;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.drive_selection.matchers.py.AllMatcher.EqualityMatcher.Matcher;70; 12;28; 31; 18;7; 3; 8;1.11;[];[];[];
ceph.deployment.drive_selection.matchers.SizeMatcher;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.drive_selection.matchers.py.AllMatcher.EqualityMatcher.Matcher.SizeMatcher;  240; 43; 110; 93; 14;6; 2;11;0.85;[];[];[];
ceph.deployment.drive_selection.matchers.SubstringMatcher;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.drive_selection.matchers.py.AllMatcher.EqualityMatcher.Matcher.SizeMatcher.SubstringMatcher;24;3;11; 10;9;4; 2; 3;0.91;[];[];[];
ceph.deployment.drive_selection.selector.DriveSelection;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.drive_selection.selector.py.DriveSelection;  136; 27;78; 39; 15;4; 2;11;0.50;[];[];['__init__   ', '_has_mandatory_idents   ', '_limit_reached   ', 'data_devices   ', 'db_devices   ', 'journal_devices   ', 'wal_devices   '];
ceph.deployment.inventory.Devices;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.inventory.py.Device.Devices;24;5;12;8;2;1; 1; 1;0.67;[];[];[];
ceph.deployment.service_spec.HostPlacementSpec;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.service_spec.py.HostPlacementSpec;91; 11;58; 23; 16;4; 3;11;0.40;[];[];['__init__   ', '__init__   ', '__init__   ', '__init__   ', '__init__   ', '__init__   ', '__new__   ', '__repr__   ', '__repr__   ', '__str__   ', '_cls   ', '_from_json_impl   ', 'assert_valid_host   ', 'from_json   ', 'from_json   ', 'from_json   ', 'from_string   ', 'get_port   ', 'handle_type_error   ', 'inner   ', 'is_empty   ', 'one_line_str   ', 'parse   ', 'pattern_matches_hosts   ', 'pretty_str   ', 'rados_config_location   ', 'rados_config_name   ', 'rgw_frontends_config_value   ', 'service_name   ', 'servicespec_validate_add   ', 'set_hosts   ', 'to_json   ', 'to_json   ', 'to_json   ', 'validate   ', 'validate   ', 'validate   ', 'validate_add   '];
ceph.deployment.service_spec.IscsiServiceSpec;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.service_spec.py.HostPlacementSpec.IscsiServiceSpec;34;3;30;1; 16;0; 1; 2;0.03;[];[];[];
ceph.deployment.service_spec.NFSServiceSpec;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.service_spec.py.HostPlacementSpec.IscsiServiceSpec.NFSServiceSpec;31;6;21;4;6;1; 1; 2;0.19;[];[];[];
ceph.deployment.service_spec.RGWSpec;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.service_spec.py.HostPlacementSpec.IscsiServiceSpec.NFSServiceSpec.PlacementSpec.RGWSpec;59;4;52; 12; 17;3; 3; 4;0.23;[];[];[];
ceph.deployment.service_spec.ServiceSpec;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.service_spec.py.HostPlacementSpec.IscsiServiceSpec.NFSServiceSpec.PlacementSpec.RGWSpec.ServiceSpec;  134; 25;85; 33; 10;2; 2; 5;0.39;['ceph.deployment.service_spec.IscsiServiceSpec', 'ceph.deployment.service_spec.NFSServiceSpec', 'ceph.deployment.service_spec.RGWSpec', 'ceph.deployment.drive_group.DriveGroupSpec'];['ceph.deployment.service_spec.IscsiServiceSpec', 'ceph.deployment.service_spec.NFSServiceSpec', 'ceph.deployment.service_spec.RGWSpec', 'ceph.deployment.drive_group.DriveGroupSpec'];[];
ceph.deployment.service_spec.ServiceSpecValidationError;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.service_spec.py.HostPlacementSpec.IscsiServiceSpec.NFSServiceSpec.PlacementSpec.RGWSpec.ServiceSpec.ServiceSpecValidationError; 8;1; 3;4;2;0; 1; 1;1.33;['ceph.deployment.drive_group.DriveGroupValidationError'];['ceph.deployment.drive_group.DriveGroupValidationError'];[];
ceph.deployment.translate.to_ceph_volume;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.deployment.translate.py.to_ceph_volume;91; 22;62; 11; 44;5; 9;17;0.18;[];[];['__init__   ', 'run   '];
ceph.exceptions.InterruptedOrTimeoutError;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.exceptions.InvalidArgumentError;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError; 2;0; 2;0;0;0; 0; 0;0.00;[];[];[];
ceph.exceptions.IoctxStateError;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.exceptions.IOError;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError.IOError; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.exceptions.NoData;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError.IOError.LogicError.NoData; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.exceptions.NoSpace;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError.IOError.LogicError.NoData.NoSpace; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.exceptions.ObjectBusy;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError.IOError.LogicError.NoData.NoSpace.ObjectBusy; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.exceptions.ObjectExists;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError.IOError.LogicError.NoData.NoSpace.ObjectBusy.ObjectExists; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.exceptions.ObjectStateError;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError.IOError.LogicError.NoData.NoSpace.ObjectBusy.ObjectExists.ObjectNotFound.ObjectStateError; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.exceptions.OSError;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError.IOError.LogicError.NoData.NoSpace.ObjectBusy.ObjectExists.ObjectNotFound.ObjectStateError.OSError; 3;0; 2;1;0;0; 0; 0;0.50;['ceph.exceptions.IOError', 'ceph.exceptions.InterruptedOrTimeoutError', 'ceph.exceptions.NoData', 'ceph.exceptions.NoSpace', 'ceph.exceptions.ObjectBusy', 'ceph.exceptions.ObjectExists', 'ceph.exceptions.ObjectNotFound', 'ceph.exceptions.PermissionDeniedError', 'ceph.exceptions.PermissionError', 'ceph.exceptions.TimedOut'];['ceph.exceptions.IOError', 'ceph.exceptions.InterruptedOrTimeoutError', 'ceph.exceptions.NoData', 'ceph.exceptions.NoSpace', 'ceph.exceptions.ObjectBusy', 'ceph.exceptions.ObjectExists', 'ceph.exceptions.ObjectNotFound', 'ceph.exceptions.PermissionDeniedError', 'ceph.exceptions.PermissionError', 'ceph.exceptions.TimedOut'];[];
ceph.exceptions.PermissionDeniedError;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError.IOError.LogicError.NoData.NoSpace.ObjectBusy.ObjectExists.ObjectNotFound.ObjectStateError.OSError.PermissionDeniedError; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.exceptions.PermissionError;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError.IOError.LogicError.NoData.NoSpace.ObjectBusy.ObjectExists.ObjectNotFound.ObjectStateError.OSError.PermissionDeniedError.PermissionError; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.exceptions.TimedOut;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.exceptions.py.Error.InterruptedOrTimeoutError.InvalidArgumentError.IoctxStateError.IOError.LogicError.NoData.NoSpace.ObjectBusy.ObjectExists.ObjectNotFound.ObjectStateError.OSError.PermissionDeniedError.PermissionError.RadosStateError.TimedOut; 3;0; 2;1;0;0; 0; 0;0.50;[];[];[];
ceph.tests.factories.DeviceFactory;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.tests.factories.py.DeviceFactory; 8;1; 7;0;3;0; 1; 1;0.00;[];[];['__init__   ', '__init__   ', '_find_new_path   ', '_init   ', '_make_path   ', 'assemble   ', 'produce   ', 'produce   '];
ceph.tests.factories.InventoryFactory;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.tests.factories.py.DeviceFactory.InventoryFactory;88;7;76;6; 13;1; 2; 3;0.08;[];[];[];
ceph.tests.test_disk_selector.TestAllMatcher;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.tests.test_disk_selector.py.TestAllMatcher;12;1;11;0;5;0; 1; 1;0.00;[];[];['make_sample_data   ', 'make_sample_data   ', 'test_block_db_size_prop   ', 'test_block_db_size_prop_empty   ', 'test_block_wal_size_prop_empty   ', 'test_bluestore_format_prop   ', 'test_compare   ', 'test_compare_at_least_1TB   ', 'test_compare_exact   ', 'test_compare_false   ', 'test_compare_false   ', 'test_compare_high   ', 'test_compare_high_low   ', 'test_compare_low   ', 'test_compare_raise   ', 'test_compare_value_not_true   ', 'test_data_devices_prop_empty   ', 'test_db_devices_prop   ', 'test_db_devices_prop_empty   ', 'test_db_slots_prop   ', 'test_db_slots_prop_empty   ', 'test_default_format_prop   ', 'test_disk_selection   ', 'test_encryption_prop   ', 'test_encryption_prop_empty   ', 'test_filestore_format_prop   ', 'test_fix   ', 'test_get_disk_key_3   ', 'test_get_disk_key_4   ', 'test_get_k_v   ', 'test_journal_device_prop   ', 'test_journal_size   ', 'test_normalize_suffix   ', 'test_normalize_suffix_raises   ', 'test_osds_per_device   ', 'test_osds_per_device_default   ', 'test_parse_filter_exact   ', 'test_parse_filter_exact_GB_G   ', 'test_parse_filter_high_low   ', 'test_parse_filter_max_high   ', 'test_parse_suffix   ', 'test_to_byte_GB   ', 'test_to_byte_MB   ', 'test_to_byte_PB   ', 'test_to_byte_TB   ', 'test_wal_device_prop   ', 'test_wal_device_prop_empty   ', 'test_wal_slots_prop   ', 'test_wal_slots_prop_empty   '];
ceph.tests.test_disk_selector.TestDriveSelection;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.tests.test_disk_selector.py.TestAllMatcher.TestDriveGroup.TestDriveSelection;51;2;49;0;4;0; 1; 1;0.00;[];[];[];
ceph.tests.test_disk_selector.TestEqualityMatcher;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.tests.test_disk_selector.py.TestAllMatcher.TestDriveGroup.TestDriveSelection.TestEqualityMatcher;12;1;11;0;5;0; 1; 1;0.00;[];[];[];
ceph.tests.test_disk_selector.TestMatcher;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.tests.test_disk_selector.py.TestAllMatcher.TestDriveGroup.TestDriveSelection.TestEqualityMatcher.TestMatcher;24;2;10; 12;9;5; 1; 1;1.20;[];[];[];
ceph.tests.test_disk_selector.TestSizeMatcher;sca.analysis.FileLevel.ceph-master.src.python-common.ceph.tests.test_disk_selector.py.TestAllMatcher.TestDriveGroup.TestDriveSelection.TestEqualityMatcher.TestMatcher.TestSizeMatcher;  185; 33; 143;9;5;0; 1; 1;0.06;[];[];[];
ceph::_any::base;sca.analysis.FileLevel.ceph-master.src.include.any.h.ceph::_any::base;  299; 32; 175; 92;1;0; 1; 1;0.53;[];[];['~base   ', 'alloc_storage', 'alloc_storage', 'base   ', 'base', 'base', 'free_storage   ', 'immobile_any   ', 'immobile_any', 'immobile_any', 'operator=', 'operator=', 'operator=', 'operator=', 'ptr   ', 'ptr   ', 'swap', 'swap'];
c;e;48;6;26; 16;1;0; 1; 1;0.62;[];[];;
ceph::async::detail::AsyncRequest;sca.analysis.FileLevel.ceph-master.src.common.async.detail.shared_mutex.h.ceph::async::detail::AsyncRequest;18;2;15;2;1;0; 1; 1;0.13;[];[];['[unnamed]   ', '[unnamed]   ', '~LockRequest   ', '~SharedMutexImpl   ', '~SyncRequest   ', 'AsyncRequest', 'cancel   ', 'complete', 'complete', 'complete', 'destroy   ', 'destroy   ', 'destroy   ', 'lock   ', 'lock', 'lock_shared   ', 'LockRequest', 'operator=', 'operator=', 'operator=', 'SyncRequest', 'SyncRequest', 'SyncRequest   ', 'try_lock   ', 'try_lock_shared   ', 'unlock   ', 'unlock_shared   ', 'wait'];
ceph::async::detail::CompletionImpl;sca.analysis.FileLevel.ceph-master.src.common.async.completion.h.ceph::async::Completion<void.ceph::async::detail::CompletionImpl;80;7;66;7;1;0; 1; 1;0.11;[];[];[];
ceph::async::detail::SyncRequest;sca.analysis.FileLevel.ceph-master.src.common.async.detail.shared_mutex.h.ceph::async::detail::AsyncRequest.ceph::async::detail::SharedMutexImpl.ceph::async::detail::SyncRequest;17;0;15;2;4;0; 1; 1;0.13;[];[];[];
c;e; 2;0; 2;0;0;0; 0; 0;0.00;[];[];;
ceph::async::SharedMutex;sca.analysis.FileLevel.ceph-master.src.common.async.shared_mutex.h.ceph::async::SharedMutex;  102; 15;59; 29;2;0; 1; 1;0.49;[];[];['~SharedMutex   ', 'cancel   ', 'get_executor   ', 'lock   ', 'lock_shared   ', 'lock_shared', 'SharedMutex', 'try_lock   ', 'try_lock_shared   ', 'unlock   ', 'unlock_shared   '];
ceph::autovector;sca.analysis.FileLevel.ceph-master.src.common.autovector.h.ceph::autovector;  284; 56; 209; 21;1;0; 1; 1;0.10;[];[];['~autovector   ', '~iterator_impl   ', 'assign', 'at', 'at', 'autovector   ', 'autovector', 'autovector', 'back   ', 'back   ', 'begin   ', 'begin   ', 'clear   ', 'empty   ', 'end   ', 'end   ', 'front   ', 'front   ', 'iterator_impl', 'iterator_impl', 'only_in_stack   ', 'operator!=', 'operator*   ', 'operator*   ', 'operator+', 'operator++   ', 'operator++', 'operator+=', 'operator-', 'operator-', 'operator--   ', 'operator--', 'operator-=', 'operator->   ', 'operator->   ', 'operator<', 'operator<=', 'operator=', 'operator=', 'operator==', 'operator>', 'operator>=', 'operator[]', 'operator[]', 'push_back', 'push_back', 'rbegin   ', 'rbegin   ', 'rend   ', 'resize', 'size   '];
ceph::BitVector;sca.analysis.FileLevel.ceph-master.src.common.bit_vector.hpp.ceph::BitVector;  291; 42; 247;2;2;0; 1; 1;0.01;[];[];['begin   ', 'begin   ', 'BitVector   ', 'BOOST_STATIC_ASSERT', 'compute_index', 'ConstReference', 'ConstReference', 'decode', 'decode', 'decode_data', 'decode_data_crcs', 'decode_footer', 'decode_header_crc', 'dump', 'encode', 'encode', 'encode_data', 'encode_data_crcs', 'encode_header', 'end   ', 'end   ', 'generate_test_instances', 'get_data   ', 'get_data_crcs_extents', 'get_data_extents', 'get_footer_offset   ', 'get_header_crc_extents', 'get_header_length   ', 'IteratorImpl', 'NoInitAllocator   ', 'NoInitAllocator', 'operator unsigned char   ', 'operator!=', 'operator*   ', 'operator*   ', 'operator+', 'operator++   ', 'operator++', 'operator=', 'operator==', 'operator==', 'operator[]', 'operator[]', 'Reference', 'ReferenceImpl', 'ReferenceImpl', 'resize', 'resize', 'set_crc_enabled', 'size   '];
ceph::BitVector::ConstReference;sca.analysis.FileLevel.ceph-master.src.common.bit_vector.hpp.ceph::BitVector.ceph::BitVector::ConstReference;13;1;12;0;1;0; 1; 1;0.00;[];[];[];
ceph::BitVector::IteratorImpl;sca.analysis.FileLevel.ceph-master.src.common.bit_vector.hpp.ceph::BitVector.ceph::BitVector::ConstReference.ceph::BitVector::IteratorImpl;68;9;58;1;1;0; 1; 1;0.02;[];[];[];
ceph::BitVector::Reference;sca.analysis.FileLevel.ceph-master.src.common.bit_vector.hpp.ceph::BitVector.ceph::BitVector::ConstReference.ceph::BitVector::IteratorImpl.ceph::BitVector::Reference;16;2;14;0;1;0; 1; 1;0.00;[];[];[];
ceph::BufAppender;sca.analysis.FileLevel.ceph-master.src.common.assert.cc.ceph::BufAppender;27;3;24;0;6;0; 1; 3;0.00;[];[];['[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '__ceph_abort', '__ceph_abortf', '__ceph_assert_fail', '__ceph_assert_fail', '__ceph_assert_warn', '__ceph_assertf_fail', 'BufAppender', 'BufAppender', 'printf', 'register_assert_context', 'vprintf'];
