Name;qualifiedName;Lines;BlankLines;CodeLines;CommentLines;AverageLines;AverageCommentLines;AverageComplexity;MaximumComplexity;RatioComment/Code;usesClasses;usedbyClasses;ownedFunctions;
ACLOwner;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl.h.ACLGrant.ACLGrantee.ACLGranteeType.ACLOwner;46;2;44;0;3;0; 1; 5;0.00;[];[];[];
ACLOwner_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.h.ACLGrant_S3.ACLGrantee_S3.ACLOwner_S3;36;4;30;2;7;0; 1; 2;0.07;[];[];[];
ACLPermission_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.h.ACLGrant_S3.ACLGrantee_S3.ACLOwner_S3.ACLPermission_S3;46;1;45;0;9;0; 2; 6;0.00;[];[];[];
ACLURI_S3;sca.analysis.FileLevel.ceph-master.src.rgw.rgw_acl_s3.cc.ACLDisplayName_S3.ACLEmail_S3.ACLGranteeType_S3.ACLID_S3.ACLURI_S3; 6;0; 6;0;1;0; 1; 1;0.00;[];[];[];
ActivePyModule;sca.analysis.FileLevel.ceph-master.src.mgr.ActivePyModule.h.ActivePyModule;  302; 45; 224; 33; 20;2; 5;12;0.15;[];[];['~ActivePyModule   ', 'ActivePyModule', 'ActivePyModule', 'get_uri   ', 'operator=', 'set_uri'];
ActivePyModules;sca.analysis.FileLevel.ceph-master.src.mgr.ActivePyModules.h.ActivePyModules; 1007; 73; 888; 47; 24;1; 3;31;0.05;[];[];['get_client   ', 'get_monc   ', 'get_objecter   ', 'init   ', 'method_exists', 'module_exists'];
Admin;sca.analysis.FileLevel.ceph-master.src.test.testmsgr.cc.Admin;25;4;20;1;3;0; 1; 3;0.05;[];[];['[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '~Admin   ', 'Admin   ', 'main', 'ms_dispatch', 'ms_handle_refused', 'ms_handle_remote_reset', 'ms_handle_reset'];
admin_log::test_helper;sca.analysis.FileLevel.ceph-master.src.test.test_rgw_admin_log.cc.admin_log::test_helper;  141;5; 134;1;9;0; 2;11;0.01;[];[];['~cls_log_entry_json   ', '~test_helper   ', 'buf_to_hex', 'caps_add', 'caps_rm', 'cls_bilog_entry', 'cls_bilog_entry   ', 'cls_log_entry_json', 'cls_log_entry_json', 'cls_log_entry_json   ', 'create_bucket   ', 'decode_json', 'decode_json', 'decode_json', 'delete_bucket   ', 'delete_obj', 'extract_input', 'get_bilog_list', 'get_ceph_conf_path   ', 'get_creds', 'get_datalog_list', 'get_datalog_shard_id', 'get_date', 'get_formatted_time', 'get_log_list', 'get_mdlog_shard_id', 'get_resp_code   ', 'get_response', 'get_response_data   ', 'get_s3_auth', 'main', 'operator=', 'operator=', 'print_usage', 'put_bucket_obj', 'read_bucket_obj', 'read_bucket_object', 'read_dummy_post', 'send_request', 'set_response', 'set_response_data', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'test_helper   ', 'test_helper', 'user_create', 'user_info', 'user_rm', 'write_data', 'write_header'];
admin_meta::test_helper;sca.analysis.FileLevel.ceph-master.src.test.test_rgw_admin_meta.cc.admin_meta::test_helper;  141;5; 134;1;9;0; 2;11;0.01;[];[];['~test_helper   ', 'buf_to_hex', 'calc_hmac_sha1', 'compare_access_keys', 'compare_user_info', 'extract_input', 'get_ceph_conf_path   ', 'get_creds', 'get_date', 'get_response', 'get_response_data   ', 'get_rgw_admin_path   ', 'get_s3_auth', 'main', 'meta_caps_add', 'meta_caps_rm', 'meta_read_json', 'parse_json_resp', 'print_usage', 'read_dummy_post', 'run_rgw_admin', 'send_request', 'set_creds', 'set_extra_header', 'set_response', 'set_response_data', 'TEST', 'TEST', 'TEST', 'TEST', 'TEST', 'test_helper   ', 'test_helper', 'user_create', 'user_info', 'user_rm', 'write_data', 'write_header'];
AdminHook;sca.analysis.FileLevel.ceph-master.src.mon.Monitor.cc.AdminHook;14;0;14;0;5;0; 1; 1;0.00;[];[];['[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '[unnamed]   ', '_add_bootstrap_peer_hint', '_finish_svc_election   ', '_generate_command_map', '_get_moncommand', '_ms_dispatch', '_quorum_status', '_reset   ', '_scrub', '_sync_reply_no_cookie', '~AdminHook   ', '~AnonConnection   ', '~Monitor   ', 'AdminHook', 'AdminHook', 'AdminHook', 'AnonConnection', 'AnonConnection', 'apply_monmap_to_compatset_features   ', 'apply_quorum_to_compatset_features   ', 'bootstrap   ', 'C_MgrProxyCommand', 'calc_quorum_requirements   ', 'cancel_probe_timeout   ', 'check_features', 'check_fsid   ', 'collect_compression_algorithms   ', 'collect_metadata', 'count_metadata', 'count_metadata', 'dispatch_op', 'do_admin_command', 'do_health_to_clog', 'do_health_to_clog_interval   ', 'extract_save_mon_key', 'finish', 'finish_election   ', 'format_command_descriptions', 'forward_request_leader', 'get_auth_request', 'get_authorizer', 'get_cluster_status', 'get_epoch   ', 'get_health_metrics   ', 'get_leader_since   ', 'get_mon_metadata', 'get_mon_status', 'get_peer_socket_addr   ', 'get_supported_features   ', 'get_sync_targets_names   ', 'get_tracked_conf_keys   ', 'handle_auth_bad_method', 'handle_auth_done', 'handle_auth_request', 'handle_command', 'handle_conf_change', 'handle_get_version', 'handle_mon_get_map', 'handle_mon_metadata', 'handle_ping', 'handle_probe', 'handle_probe_probe', 'handle_route', 'handle_scrub', 'handle_signal', 'handle_subscribe', 'handle_sync', 'handle_sync_chunk', 'handle_sync_cookie', 'handle_sync_get_chunk', 'handle_sync_get_cookie', 'handle_sync_no_cookie', 'handle_tell_command', 'handle_timecheck', 'handle_timecheck_leader', 'handle_timecheck_peon', 'health_events_cleanup   ', 'health_interval_start   ', 'health_interval_stop   ', 'health_tick_start   ', 'health_tick_stop   ', 'health_to_clog_update_conf', 'init   ', 'init_paxos   ', 'is_connected   ', 'is_keyring_required   ', 'join_election   ', 'load_metadata   ', 'log_health', 'lose_election', 'mark_disposable   ', 'mark_down   ', 'mkfs', 'Monitor', 'ms_handle_accept', 'ms_handle_authentication', 'ms_handle_refused', 'ms_handle_reset', 'new_tick   ', 'no_reply', 'operator=', 'operator=', 'operator=', 'prepare_new_fingerprint', 'read_features   ', 'read_features_off_disk', 'refresh_from_paxos', 'register_cluster_logger   ', 'remove_all_sessions   ', 'remove_session', 'reply_command', 'reply_command', 'reply_tell_command', 'resend_routed_requests   ', 'respawn   ', 'sanitize_options   ', 'scrub   ', 'scrub_cancel_timeout   ', 'scrub_check_results   ', 'scrub_event_cancel   ', 'scrub_event_start   ', 'scrub_finish   ', 'scrub_reset   ', 'scrub_reset_timeout   ', 'scrub_start   ', 'scrub_timeout   ', 'send_keepalive   ', 'send_latest_monmap', 'send_message', 'send_mon_message', 'send_reply', 'sync_finish', 'sync_force', 'sync_get_next_chunk   ', 'sync_obtain_latest_monmap', 'sync_reset_provider   ', 'sync_reset_requester   ', 'sync_reset_timeout   ', 'sync_start', 'sync_stash_critical_state', 'sync_trim_providers   ', 'tick   ', 'timecheck_cancel_round   ', 'timecheck_check_skews   ', 'timecheck_cleanup   ', 'timecheck_finish   ', 'timecheck_finish_round', 'timecheck_report   ', 'timecheck_reset_event   ', 'timecheck_start   ', 'timecheck_start_round   ', 'timecheck_status', 'unregister_cluster_logger   ', 'update_log_clients   ', 'update_logger   ', 'update_mon_metadata', 'wait_for_paxos_write   ', 'waitlist_or_zap_client', 'win_election', 'write_default_keyring', 'write_fsid'];
